ticker,price_symbol,download_status,n_daily_rows,first_trade_date,last_trade_date,covers_2010_start,covers_required_2025_12,active_2024_test_window_evaluable,special_note,error
BKNG,BKNG,ok,4392,2009-01-02,2026-06-18,1,1,1,,
CMG,CMG,ok,4392,2009-01-02,2026-06-18,1,1,1,,
TJX,TJX,ok,4392,2009-01-02,2026-06-18,1,1,1,,
RTX,RTX,ok,4392,2009-01-02,2026-06-18,1,1,1,,
LMT,LMT,ok,4392,2009-01-02,2026-06-18,1,1,1,,
NOC,NOC,ok,4392,2009-01-02,2026-06-18,1,1,1,,
ETN,ETN,ok,4392,2009-01-02,2026-06-18,1,1,1,,
EMR,EMR,ok,4392,2009-01-02,2026-06-18,1,1,1,,
EOG,EOG,ok,4392,2009-01-02,2026-06-18,1,1,1,,
KMI,KMI,ok,3860,2011-02-11,2026-06-18,0,1,1,,
LIN,LIN,ok,4392,2009-01-02,2026-06-18,1,1,1,,
APD,APD,ok,4392,2009-01-02,2026-06-18,1,1,1,,
DHR,DHR,ok,4392,2009-01-02,2026-06-18,1,1,1,,
