target,fold_id,model_name,n_obs,n_pos,AUROC,AUPRC,top_decile_capture,top_quintile_capture,brier
label_a_rel,8,naive_drawdown_baseline,1164,210,0.6808800039932116,0.3639551814253744,0.28095238095238095,0.4095238095238095,0.14315749249207652
label_a_rel,8,naive_momentum_vol_baseline,1164,210,0.7924977538185085,0.47296561800497666,0.28095238095238095,0.5238095238095238,0.13999735746753406
label_a_rel,8,macro_only_logit,1164,210,0.5237246680642907,0.19235176141767724,0.0761904761904762,0.19523809523809524,0.15190781331615474
label_a_rel,8,price_relative_logit,1164,210,0.7912848158131177,0.47065801045956446,0.2714285714285714,0.5285714285714286,0.1399879190699472
label_a_rel,8,price_macro_logit,1164,210,0.8024059099530798,0.48979917267443845,0.2857142857142857,0.5333333333333333,0.12258959902415584
label_a_rel,9,naive_drawdown_baseline,1182,259,0.6849421246236923,0.42190593673964627,0.2648221343873518,0.3794466403162055,0.16595518709383772
label_a_rel,9,naive_momentum_vol_baseline,1182,259,0.6878108568249414,0.3806474208916102,0.23552123552123552,0.3861003861003861,0.17880849211073332
label_a_rel,9,macro_only_logit,1182,259,0.5515818403142346,0.25224014345273504,0.1274131274131274,0.23938223938223938,0.19287322697975898
label_a_rel,9,price_relative_logit,1182,259,0.6866981514868838,0.38221656372679513,0.23552123552123552,0.3938223938223938,0.17884146329979034
label_a_rel,9,price_macro_logit,1182,259,0.6951480190916811,0.40108437516106527,0.2277992277992278,0.3938223938223938,0.17322179553748254
label_a_rel,10,naive_drawdown_baseline,1188,67,0.5808180329396727,0.08806847279143208,0.08955223880597014,0.29850746268656714,0.15344011010647815
label_a_rel,10,naive_momentum_vol_baseline,1188,67,0.5024564953998961,0.12754740782505036,0.13432835820895522,0.1791044776119403,0.12144559518644091
label_a_rel,10,macro_only_logit,1188,67,0.6720145925146791,0.12677039802514337,0.26865671641791045,0.417910447761194,0.05321527335029112
label_a_rel,10,price_relative_logit,1188,67,0.5040542159851945,0.12664797694980634,0.13432835820895522,0.1791044776119403,0.12132336585394052
label_a_rel,10,price_macro_logit,1188,67,0.5672973224865858,0.12191747866274112,0.11940298507462686,0.19402985074626866,0.10865059535678644
label_a_rel,11,naive_drawdown_baseline,1199,190,0.5838547661400021,0.2622098077967082,0.18421052631578946,0.2736842105263158,0.15397428105449804
label_a_rel,11,naive_momentum_vol_baseline,1199,190,0.6781284231391164,0.30525724130228393,0.21578947368421053,0.3894736842105263,0.12872275462519298
label_a_rel,11,macro_only_logit,1199,190,0.49359449168014186,0.16066282425696685,0.11052631578947368,0.16842105263157894,0.13395150079361257
label_a_rel,11,price_relative_logit,1199,190,0.6788065306974076,0.305295445824193,0.21052631578947367,0.39473684210526316,0.1287288622045453
label_a_rel,11,price_macro_logit,1199,190,0.7088832090136143,0.3444313636488271,0.26842105263157895,0.4052631578947368,0.12286172230171441
label_a_rel,12,naive_drawdown_baseline,1192,189,0.6606318610306646,0.24215337541240264,0.18518518518518517,0.3386243386243386,0.17701036473707063
label_a_rel,12,naive_momentum_vol_baseline,1192,189,0.7062252396250402,0.287872400572204,0.2328042328042328,0.38095238095238093,0.13414851717608722
label_a_rel,12,macro_only_logit,1192,189,0.43044147979342395,0.14027502826573834,0.06349206349206349,0.13756613756613756,0.13975959758071546
label_a_rel,12,price_relative_logit,1192,189,0.7062041389060332,0.28789756299562963,0.2328042328042328,0.38095238095238093,0.13416066320912604
label_a_rel,12,price_macro_logit,1192,189,0.7055711173358232,0.2983171368631096,0.23809523809523808,0.4074074074074074,0.15255592842620802
label_a_rel,13,naive_drawdown_baseline,1188,124,0.6582964467620664,0.19099439949215416,0.25,0.3790322580645161,0.14335973997458643
label_a_rel,13,naive_momentum_vol_baseline,1188,124,0.6860447489691972,0.21322805618525517,0.2661290322580645,0.3870967741935484,0.08968284062280041
label_a_rel,13,macro_only_logit,1188,124,0.5420203735144312,0.11954967349369615,0.11290322580645161,0.24193548387096775,0.1063165400599386
label_a_rel,13,price_relative_logit,1188,124,0.6850897404802329,0.2128939276089242,0.2661290322580645,0.3951612903225806,0.08968402285023856
label_a_rel,13,price_macro_logit,1188,124,0.7057512733446519,0.2301953096166476,0.25806451612903225,0.4596774193548387,0.09666044746327801
label_a_rel,14,naive_drawdown_baseline,1782,275,0.5699607890450624,0.21959474739443305,0.17454545454545456,0.2727272727272727,0.17805907925270992
label_a_rel,14,naive_momentum_vol_baseline,1782,275,0.620278699402787,0.2313975515073905,0.1781818181818182,0.29818181818181816,0.1296817840024141
label_a_rel,14,macro_only_logit,1782,275,0.5658008083489172,0.18786443210714443,0.13090909090909092,0.26181818181818184,0.13489594983464076
label_a_rel,14,price_relative_logit,1782,275,0.6195451529227243,0.2312218573452468,0.1781818181818182,0.29818181818181816,0.1297150603822129
label_a_rel,14,price_macro_logit,1782,275,0.6443071725885263,0.2635358425869035,0.20363636363636364,0.3418181818181818,0.1361657906718977
