target,fold_id,model_name,metric,point_estimate,ci_method,ci_lower_95,ci_upper_95,n_bootstrap,n_obs,n_pos
label_a_abs,5,naive_drawdown_baseline,top_decile_capture,0.2463768115942029,firm_year_block_bootstrap,0.04729930959794233,0.47646103896103914,150,1130,69
label_a_abs,5,naive_drawdown_baseline,top_quintile_capture,0.463768115942029,firm_year_block_bootstrap,0.22745402436111775,0.6625706214689265,150,1130,69
label_a_abs,5,naive_drawdown_baseline,brier,0.10734301656254877,firm_year_block_bootstrap,0.08024193121190089,0.1374855160144049,150,1130,69
label_a_abs,5,naive_momentum_vol_baseline,AUROC,0.6543184581130735,firm_year_block_bootstrap,0.510372026713515,0.8092817964005377,150,1130,69
label_a_abs,5,naive_momentum_vol_baseline,AUPRC,0.16303875153205216,firm_year_block_bootstrap,0.04230300758374576,0.37527120106437795,150,1130,69
label_a_abs,5,naive_momentum_vol_baseline,top_decile_capture,0.2898550724637681,firm_year_block_bootstrap,0.038321995464852605,0.5626513317191284,150,1130,69
label_a_abs,5,naive_momentum_vol_baseline,top_quintile_capture,0.391304347826087,firm_year_block_bootstrap,0.15639790398918188,0.6237355212355215,150,1130,69
label_a_abs,5,naive_momentum_vol_baseline,brier,0.05748621003574055,firm_year_block_bootstrap,0.028100027225468265,0.09101289621853745,150,1130,69
label_a_abs,5,macro_only_logit,AUROC,0.4272015735770192,firm_year_block_bootstrap,0.37776673015055234,0.4786340847761848,150,1130,69
label_a_abs,5,macro_only_logit,AUPRC,0.05079648371105049,firm_year_block_bootstrap,0.024475005489915033,0.0835668478677153,150,1130,69
label_a_abs,5,macro_only_logit,top_decile_capture,0.057971014492753624,firm_year_block_bootstrap,0.020614211160176636,0.10841309995897719,150,1130,69
label_a_abs,5,macro_only_logit,top_quintile_capture,0.15942028985507245,firm_year_block_bootstrap,0.10882063882063882,0.21634009009009011,150,1130,69
label_a_abs,5,macro_only_logit,brier,0.06047161103072227,firm_year_block_bootstrap,0.02829069865055238,0.09579580090110106,150,1130,69
label_a_abs,5,price_relative_logit,AUROC,0.6495239656326408,firm_year_block_bootstrap,0.510008435369555,0.7935968108922746,150,1130,69
label_a_abs,5,price_relative_logit,AUPRC,0.1587371656453614,firm_year_block_bootstrap,0.03989690245043136,0.36540148604912426,150,1130,69
label_a_abs,5,price_relative_logit,top_decile_capture,0.2898550724637681,firm_year_block_bootstrap,0.038321995464852605,0.5210089326614753,150,1130,69
label_a_abs,5,price_relative_logit,top_quintile_capture,0.37681159420289856,firm_year_block_bootstrap,0.13318327330932375,0.601030691708658,150,1130,69
label_a_abs,5,price_relative_logit,brier,0.05752094262981048,firm_year_block_bootstrap,0.028151994212155307,0.09102906773903137,150,1130,69
label_a_abs,5,price_macro_logit,AUROC,0.56502615798604,firm_year_block_bootstrap,0.4556344652718263,0.7113106669841663,150,1130,69
label_a_abs,5,price_macro_logit,AUPRC,0.1561815668100075,firm_year_block_bootstrap,0.042224831456581256,0.3519622725319322,150,1130,69
label_a_abs,5,price_macro_logit,top_decile_capture,0.18840579710144928,firm_year_block_bootstrap,0.020188075230092035,0.4208458458458459,150,1130,69
label_a_abs,5,price_macro_logit,top_quintile_capture,0.2898550724637681,firm_year_block_bootstrap,0.10990895001937233,0.4938559322033899,150,1130,69
label_a_abs,5,price_macro_logit,brier,0.0587117161676582,firm_year_block_bootstrap,0.02828840682644098,0.09344442979503279,150,1130,69
label_a_abs,6,naive_drawdown_baseline,AUROC,0.5524745269286754,firm_year_block_bootstrap,0.027544070878255528,0.75625,150,1152,6
label_a_abs,6,naive_drawdown_baseline,AUPRC,0.008659723942086629,firm_year_block_bootstrap,0.0010908026652817998,0.02443976969749152,150,1152,6
label_a_abs,6,naive_drawdown_baseline,top_decile_capture,0.0,firm_year_block_bootstrap,0.0,0.3333333333333333,150,1152,6
label_a_abs,6,naive_drawdown_baseline,top_quintile_capture,0.5,firm_year_block_bootstrap,0.0,0.75,150,1152,6
label_a_abs,6,naive_drawdown_baseline,brier,0.09219936046022081,firm_year_block_bootstrap,0.06908132566620431,0.11837589472094989,150,1152,6
label_a_abs,6,naive_momentum_vol_baseline,AUROC,0.7526178010471204,firm_year_block_bootstrap,0.05945831602009595,0.9739221093189288,150,1152,6
label_a_abs,6,naive_momentum_vol_baseline,AUPRC,0.022263856515439464,firm_year_block_bootstrap,0.00117878572782209,0.0890772163113953,150,1152,6
label_a_abs,6,naive_momentum_vol_baseline,top_decile_capture,0.5,firm_year_block_bootstrap,0.0,1.0,150,1152,6
label_a_abs,6,naive_momentum_vol_baseline,top_quintile_capture,0.8333333333333334,firm_year_block_bootstrap,0.0,1.0,150,1152,6
label_a_abs,6,naive_momentum_vol_baseline,brier,0.01476208962989413,firm_year_block_bootstrap,0.005078462670601355,0.027186788029444443,150,1152,6
label_a_abs,6,macro_only_logit,AUROC,0.3324607329842932,firm_year_block_bootstrap,0.12467419635099913,0.7921739130434783,150,1152,6
